,Brand,sku,Available,Name,Price,Unit of Size,Size,Price,Previous Price,Discounted,Markdown Price,Markdown Label,Effective From,Effective Until,Whole Price,Store_ID
116,Sun Bum,871760001947,True,Sun Bum Original SPF 50 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,3
117,Sun Bum,871760002098,True,Sun Bum Original SPF 70 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,3
118,Little Hands Hawaii,680201860643,True,Little Hands Hawaii Sunscreen Original,$16.99,Ounce,1.0,$16.99/oz,$18.99,True,16.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,16.99,3
119,Little Hands Hawaii,680201860636,True,Little Hands Hawaii Sunscreen Tinted,$16.99,Ounce,4.0,$4.25/oz,$18.99,True,16.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,16.99,3
120,Little Hands Hawaii,852673999477,True,Little Hands Hawaii Tinted Sunscreen,$13.49,Ounce,4.0,$3.37/oz,$15.49,True,13.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.49,3
121,Maui Vera,856930004058,True,Maui Vera Mineral Sunscreen Spf30,$14.99,Ounce,3.0,$5.00/oz,$14.99,False,,,,,,3
122,Ao Organics,000274145810,True,Ao Organics Reef Safe Sunscreen Lot,$27.99,Ounce,4.0,$7.00/oz,$27.99,False,,,,,,3
123,Alba Botanica,724742003814,True,"Alba Botanica Sunscreen Sensitive Spray, SPF 50",$19.99,Ounce,6.0,$3.33/oz,$19.99,False,,,,,,3
124,Banana Boat,079656031867,True,"Banana Boat Sport Performance Sunscreen, SPF 50",$11.99,Ounce,8.0,$1.50/oz,$11.99,False,,,,,,3
125,Banana Boat,079656031799,True,"Banana Boat Sport Sunscreen Spray, SPF 50+",$13.19,Ounce,6.0,$2.20/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,3
126,Sun Bum,871760001978,True,"Sun Bum Moisturizing Sunscreen Spray, SPF 50",$20.69,Ounce,6.0,$3.45/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,3
127,Alba Botanica,724742008437,True,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",$20.49,Ounce,6.0,$3.42/oz,$20.49,False,,,,,,3
128,Banana Boat,079656049725,True,"Banana Boat Sport Performance Sunscreen Lotion, SPF 50+",$12.99,Ounce,8.0,$1.62/oz,$14.59,True,12.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.99,3
129,Hawaiian Tropic,075486091149,True,Hawaiian Tropic Everyday Active Clear Spray SPF 50,$11.99,Ounce,6.0,$2.00/oz,$11.99,False,,,,,,3
130,Sun Bum,871760002975,True,"Sun Bum Face Lotion, SPF 50",$17.19,Ounce,3.0,$5.73/oz,$18.99,True,17.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,17.19,3
131,Sol Remedies,007191995160,True,Sol Remedies Sunscreen Reef Safe,$19.99,Ounce,4.0,$5.00/oz,$19.99,False,,,,,,37
132,Sun Bum,871760000322,True,Sun Bum Original SPF 50 Sunscreen Lotion,$12.59,Ounce,3.0,$4.20/oz,$13.99,True,12.59,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.59,37
133,Sun Bum,871760001923,True,Sun Bum Original SPF 15 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,37
134,Sun Bum,871760001930,True,Sun Bum Original SPF 30 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,37
135,Sun Bum,871760001947,True,Sun Bum Original SPF 50 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,37
