id,brand,sku,available,product_name,match_id,price,unit_of_size,size,price_per_size,previous_price,discounted,markdown_price,markdown_label,effective_from,effective_until,whole_price,retailer_store_id
397,"Alba Botanica",724742003906,1,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",33,14.99,Ounce,4.00,$3.75/oz,$14.99,0,NULL,NULL,NULL,NULL,NULL,27
398,"Alba Botanica",724742003890,1,"Alba Botanica Sunscreen, Sensitive Mineral Protection Spf 30",36,16.29,Ounce,4.00,$4.07/oz,$16.29,0,NULL,NULL,NULL,NULL,NULL,27
399,"Banana Boat",79656024326,1,"Banana Boat Baby 100% Mineral Sunscreen Lotion SPF50",5,13.99,Ounce,6.00,$2.33/oz,$15.49,1,13.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.99,27
400,"Banana Boat",79656024340,1,"Banana Boat Sport Mineral Sunscreen Lotion, SPF 50",47,13.99,Ounce,6.00,$2.33/oz,$15.49,1,13.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.99,27
401,"Banana Boat",79656049718,1,"Banana Boat Sport Performance Sunscreen Lotion, SPF 30",49,11.49,Ounce,8.00,$1.44/oz,$12.99,1,11.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",11.49,27
402,"Banana Boat",79656049725,1,"Banana Boat Sport Performance Sunscreen Lotion, SPF 50+",6,12.99,Ounce,8.00,$1.62/oz,$14.59,1,12.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.99,27
403,"Banana Boat",79656031775,1,"Banana Boat Ultra Sport Performance SPF 15 Sunscreen",7,13.29,Ounce,6.00,$2.22/oz,$13.29,0,NULL,NULL,NULL,NULL,NULL,27
404,"Banana Boat",79656004229,1,"Banana Boat Ultra Sport Performance SPF 30 Sunscreen",48,11.49,Ounce,10.00,$1.15/oz,$12.99,1,11.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",11.49,27
405,"Banana Boat",79656031782,1,"Banana Boat Ultra Sport Performance Sunscreen, SPF 30",8,11.99,Ounce,6.00,$2.00/oz,$13.29,1,11.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",11.99,27
406,"Hawaiian Tropic",75486087470,1,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 30",59,11.99,Ounce,8.00,$1.50/oz,$13.69,1,11.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",11.99,27
407,"Hawaiian Tropic",75486087609,1,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 50",60,13.49,Ounce,8.00,$1.69/oz,$14.99,1,13.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.49,27
408,"Sun Bum",871760000339,1,"Sun Bum Travel Size Moisturizing Sunscreen Lotion SPF70",95,12.59,Ounce,3.00,$4.20/oz,$13.99,1,12.59,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.59,27
409,"Banana Boat",79656044836,1,"Banana Boat Protective Dry Oil Sunscreen with Argan Oil, SPF 15",9,13.99,Ounce,6.00,$2.33/oz,$13.99,0,NULL,NULL,NULL,NULL,NULL,27
410,"Alba Botanica",724742008253,1,"Alba Botanica Hawaiian Sunscreen Soothing Aloe Vera Spf 30",34,15.29,Ounce,4.00,$3.82/oz,$15.29,0,NULL,NULL,NULL,NULL,NULL,27
411,"Alba Botanica",724742008277,1,"Alba Botanica Hawaiian Sunscreen, Revitalizing Green Tea Spf 45",37,14.99,Ounce,4.00,$3.75/oz,$14.99,0,NULL,NULL,NULL,NULL,NULL,27
412,"Alba Botanica",724742003821,1,"Alba Botanica Sunscreen Active Kids Clear Spray, SPF 50",39,19.99,Ounce,6.00,$3.33/oz,$19.99,0,NULL,NULL,NULL,NULL,NULL,27
413,"Banana Boat",79656000252,1,"Banana Boat Sunscreen, Spray, Deep Tanning Oil, SPF 4",13,11.69,Ounce,8.00,$1.46/oz,$11.69,0,NULL,NULL,NULL,NULL,NULL,27
414,"Banana Boat",79656013320,1,"Banana Boat Ultra Sport Clear Sunscreen Spray, SPF 50+",20,19.99,Ounce,12.00,$1.67/oz,$23.59,1,19.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",19.99,27
415,"Hawaiian Tropic",75486091125,1,"Hawaiian Tropic Silk Hydration Sunscreen Clear Spray, SPF 30",61,12.49,Ounce,6.00,$2.08/oz,$13.99,1,12.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.49,27
416,"Hawaiian Tropic",75486091132,1,"Hawaiian Tropic Silk Hydration Sunscreen Face Lotion, SPF 30",62,13.69,Ounce,1.70,$8.05/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,27
417,Neutrogena,86800110811,1,"Neutrogena Sheer Zinc Face Dry-Touch Sunscreen Broad Spectrum SPF 50 For Sensitive Skin",18,17.99,Ounce,2.00,$9.00/oz,$17.99,0,NULL,NULL,NULL,NULL,NULL,27
418,"Banana Boat",79656018066,1,"Banana Boat Kids Sport Sunscreen Spray, Broad Spectrum SPF 50+",10,13.99,Ounce,6.00,$2.33/oz,$13.99,0,NULL,NULL,NULL,NULL,NULL,27
419,Coola,857724008245,1,"Coola Classic Body Organic Sunscreen Lotion SPF 50 - Fragrance Free",54,27.99,Ounce,5.00,$5.60/oz,$27.99,0,NULL,NULL,NULL,NULL,NULL,27
420,Coola,857724008252,1,"Coola Classic Body Organic Sunscreen Lotion SPF 50 - Guava Mango",53,27.99,Ounce,5.00,$5.60/oz,$27.99,0,NULL,NULL,NULL,NULL,NULL,27
421,Coola,857724008962,1,"Coola Classic Body Organic Sunscreen Spray SPF 30 - Tropical Coconut",14,24.99,Ounce,6.00,$4.17/oz,$24.99,0,NULL,NULL,NULL,NULL,NULL,27
422,Coola,857724008986,1,"Coola Classic Body Organic Sunscreen Spray SPF 50 - Fragrance Free",15,24.99,Ounce,6.00,$4.17/oz,$24.99,0,NULL,NULL,NULL,NULL,NULL,27
423,Coola,857724008979,1,"Coola Classic Body Organic Sunscreen Spray SPF 50 - Guava Mango",16,24.99,Ounce,6.00,$4.17/oz,$24.99,0,NULL,NULL,NULL,NULL,NULL,27
424,"Hawaiian Tropic",75486087418,1,"Hawaiian Tropic Sunscreen, Lotion, Sheer Touch, Broad Spectrum Spf 8",77,13.69,Ounce,8.00,$1.71/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,27
425,"Hawaiian Tropic",75486091170,1,"Hawaiian Tropic Everyday Active Lotion SPF 50",63,14.99,Ounce,8.00,$1.87/oz,$14.99,0,NULL,NULL,NULL,NULL,NULL,27
426,"Hawaiian Tropic",75486089863,1,"Hawaiian Tropic Island Sport Lotion SPF 15",64,13.69,Ounce,8.00,$1.71/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,27
